postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
EC4N6AP,EC4N 6AP,EC,15.6,15.3,20.98,8,16.5,,,,1.2,1.2,1.28,1,1.2,,,,0,0,1,6,0,0,0,18,8,0,15,,,
EC4N8AD,EC4N 8AD,EC,17.1,16.6,20.17,,16.6,,,,0.9,0.9,1.27,,1,,,,0,0,0,8,0,0,0,96,84,,96,,,
EC4R0DR,EC4R 0DR,EC,14.9,14.9,21.33,5.5,16.8,,,,1,1,1.28,1,1,,,,0,1,1,10,0,0,0,54,31,0,49,,,
EC4R2RP,EC4R 2RP,EC,21.2,17.9,23.03,5,20.8,,,,1.1,1,1.27,0.5,1.1,,,,1,0,1,9,0,0,0,75,65,80,57,,,
EC4V3EH,EC4V 3EH,EC,78.1,77.3,330,,18.5,76.1,92,330,19.5,16.2,50,,1.3,17.9,19.9,50,0,0,0,4,15,1,16,404,130,,215,347,426,1609
EC4V3EJ,EC4V 3EJ,EC,54.8,55.5,160,,20.8,75.4,75.4,,10,11.7,30,,1.3,17.7,17.7,,0,0,0,8,14,0,14,361,139,,70,450,450,
EC4V3PA,EC4V 3PA,EC,68,61.6,79.91,,18.4,66.9,66.9,,19,14.5,20,,3.2,15.8,15.8,,0,0,0,5,41,0,41,315,176,,117,293,293,
EC4V3PL,EC4V 3PL,EC,76.4,59.2,160,9,17.8,76.4,76.4,,19.5,13.5,30,1,1.2,18.5,18.5,,0,0,1,5,15,0,15,360,283,5,14,427,427,
EC4V3PN,EC4V 3PN,EC,77.4,58,80,8,10,74.3,74.3,,19.4,13.8,20,0,1,18,18,,0,0,1,1,6,0,6,369,310,0,507,346,346,
EC4V3PP,EC4V 3PP,EC,78.1,203.6,1000,,,70.8,203.6,1000,19.5,30.6,115,,,16.5,30.6,115,0,0,0,0,6,1,7,394,200,,,204,394,1533
EC4V3PS,EC4V 3PS,EC,54.8,51,79.91,1,19.4,67.2,67.2,,10,11.5,20,0.5,1.2,16.1,16.1,,2,0,0,5,16,0,16,214,111,52,57,244,244,
EC4V3QQ,EC4V 3QQ,EC,19.9,20.4,24.03,,20.3,,,,1.2,1.2,1.24,,1.2,,,,0,0,0,6,0,0,0,112,78,,75,,,
EC4V5BY,EC4V 5BY,EC,21.5,20.3,24.38,8,22,,,,1.1,1.1,1.25,1,1.1,,,,0,0,1,7,0,0,0,71,72,0,61,,,
EC4V5DT,EC4V 5DT,EC,20.7,19.7,22.42,,19.7,,,,1.2,1.2,1.27,,1.2,,,,0,0,0,12,0,0,0,140,123,,129,,,
EC4V5EA,EC4V 5EA,EC,22.9,22.1,24.38,,22.1,,,,1.1,1.1,1.27,,1.1,,,,0,0,0,12,0,0,0,52,15,,52,,,
EC4V5EG,EC4V 5EG,EC,18.6,18,21.92,,18,,,,1.2,1.2,1.36,,1.2,,,,0,0,0,5,0,0,0,121,104,,121,,,
EC4V5EP,EC4V 5EP,EC,20.2,19.2,22.25,,19.2,,,,1.2,1.2,1.25,,1.2,,,,0,0,0,5,0,0,0,78,71,,62,,,
EC4V6DX,EC4V 6DX,EC,55,205.1,1000,,20,125,343.8,1000,10,26.9,115,,1,23.3,46.3,115,0,0,0,3,3,1,4,433,394,,337,396,396,395
EC4V6EP,EC4V 6EP,EC,22,21.3,23.44,,21.3,,,,1.2,1.2,1.27,,1.2,,,,0,0,0,12,0,0,0,129,98,,118,,,
EC4Y0DA,EC4Y 0DA,EC,125,254.7,1000,8,,106,290,750,10.6,10.6,20,1,,4,2.9,0,0,0,1,0,5,2,7,131,131,0,,26,19,0
EC4Y0DD,EC4Y 0DD,EC,100,163.9,1000,8,14.8,123.3,213.9,666.7,1.2,1,1.23,1,1,0,0,0,0,0,1,5,15,3,18,161,18,12,191,0,0,0
EC4Y0DF,EC4Y 0DF,EC,50,93.6,500,10,17,114.3,140,500,1.2,1.2,1.27,1,1.3,0,0,0,0,0,1,8,14,1,15,125,74,40,120,0,0,0
EC4Y0HA,EC4Y 0HA,EC,79.7,71.7,79.67,,15,77.4,77.4,,20,17.3,20,,1,18.9,18.9,,0,0,0,1,10,0,10,95,28,,0,76,76,
EC4Y0HP,EC4Y 0HP,EC,79.7,116.2,500,8,19,94,129.3,500,20,15.8,20,1,1.5,12.6,11.5,0,0,0,1,2,21,2,23,111,24,2,6,84,76,0
EC4Y1AA,EC4Y 1AA,EC,11.6,9.1,13.37,2.5,12.5,,,,1.1,1.1,1.26,1,1,,,,0,2,0,4,0,0,0,46,40,4,56,,,
EC4Y1DH,EC4Y 1DH,EC,11.5,10.5,15.4,5,12.5,,,,1,1,1.2,0.7,1,,,,1,0,2,8,0,0,0,59,59,0,15,,,
EC4Y1JU,EC4Y 1JU,EC,10.4,10.2,16.02,7.3,12.6,,,,1,0.9,1.17,0.7,1,,,,0,0,6,7,0,0,0,120,42,109,113,,,
EC4Y8DU,EC4Y 8DU,EC,6.7,7.8,10.64,7.3,11,,,,1,1,1.19,1,1,,,,0,0,6,1,0,0,0,42,23,45,23,,,
