postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
SE184HH,SE18 4HH,SE,69.5,79.9,205,5,13,88.2,88.2,,10,11.9,21,1,1,13.2,13.2,,0,0,1,2,25,0,25,669,499,74,941,618,618,
SE184HJ,SE18 4HJ,SE,57,71.2,205,,14.8,81,81,,10,11.9,21,,1.3,13.8,13.8,,0,0,0,4,23,0,23,365,254,,86,382,382,
SE184HL,SE18 4HL,SE,63.5,114.3,460,,17,89.6,136.7,395.5,18.4,16.3,36,,1,16.8,19.8,36,0,0,0,3,11,2,13,821,498,,570,992,879,260
SE184HN,SE18 4HN,SE,64.8,98.7,205,,19.5,105.3,105.3,,15.4,14.5,21,,5,15.3,15.3,,0,0,0,2,24,0,24,637,535,,418,629,629,
SE184HP,SE18 4HP,SE,76.9,89,331,,10.3,88.6,101.4,331,10,12.9,36,,1,13.6,14.7,36,0,0,0,3,18,1,19,484,365,,423,513,493,144
SE184HQ,SE18 4HQ,SE,28,44.3,107,6.7,16,79.5,79.5,,5.6,6.6,19.53,0.7,1,12.5,12.5,,0,1,2,1,4,0,4,264,87,43,513,301,301,
SE184HR,SE18 4HR,SE,66.9,82.8,205,9.5,20,94.4,94.4,,10,11.2,21,1,7,12.3,12.3,,0,0,2,3,29,0,29,496,348,213,22,513,513,
SE184HS,SE18 4HS,SE,63.2,97.2,593,5,13,90.2,114.1,593,10,12.7,39,0.5,1,13.7,14.9,39,1,0,1,2,20,1,21,894,790,521,1114,898,866,224
SE184HT,SE18 4HT,SE,77.2,80.8,331,8,16.3,81.9,97.4,331,10,12,36,0,1,13.3,14.8,36,0,0,1,3,15,1,16,448,463,0,362,478,492,702
SE184HU,SE18 4HU,SE,107,129.1,460,,21,115.3,135.5,460,12.4,15.2,36,,1,14.8,16.1,36,0,0,0,1,16,1,17,448,289,,81,498,470,15
SE184HW,SE18 4HW,SE,107,100.5,205,,,100.5,100.5,,10,11.7,21,,,11.7,11.7,,0,0,0,0,13,0,13,597,527,,,505,505,
SE184JF,SE18 4JF,SE,24,22.7,28.05,,22.7,,,,4.5,4.3,5.3,,4.3,,,,0,0,0,7,0,0,0,285,302,,285,,,
